State_Abbrv,State_Name,STATE_FIP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NV,Nevada,32,5.3,5.7,5.2,4.4,4.5,4.2,4.7,7.1,11.7,13.8,13.2,11.5,9.8
NH,New Hampshire,33,3.4,4.5,4.5,3.9,3.6,3.5,3.5,3.9,6.2,6.2,5.5,5.5,5.3
NJ,New Jersey,34,4.3,5.8,5.9,4.9,4.5,4.6,4.3,5.5,9,9.6,9.3,9.3,8.2
NM,New Mexico,35,4.9,5.5,5.9,5.8,5.2,4.1,3.5,4.5,6.9,8,7.6,7.1,6.9
NY,New York,36,4.9,6.2,6.4,5.8,5,4.6,4.6,5.4,8.3,8.6,8.2,8.5,7.7
NC,North Carolina,37,5.6,6.6,6.5,5.5,5.3,4.8,4.8,6.3,10.4,10.8,10.2,9.2,8
ND,North Dakota,38,2.8,3.5,3.6,3.5,3.4,3.2,3.1,3.1,4.1,3.8,3.4,3,2.9
OH,Ohio,39,4.4,5.7,6.2,6.1,5.9,5.4,5.6,6.6,10.2,10,8.7,7.4,7.4
OK,Oklahoma,40,3.7,4.8,5.6,5,4.5,4.1,4.1,3.7,6.7,6.9,5.9,5.4,5.4
OR,Oregon,41,6.4,7.6,8.1,7.3,6.2,5.3,5.2,6.5,11.1,10.8,9.7,8.8,7.7
PA,Pennsylvania,42,4.8,5.6,5.7,5.4,5,4.5,4.4,5.3,7.9,8.5,8,7.9,7.4
RI,Rhode Island,44,4.5,5.1,5.4,5.2,5.1,5.1,5.2,7.7,10.9,11.7,11.2,10.3,9.5
SC,South Carolina,45,5.2,6,6.7,6.8,6.8,6.4,5.6,6.8,11.4,11.1,10.3,9,7.6
SD,South Dakota,46,3.1,3.3,3.5,3.7,3.7,3.1,2.9,3,5.2,5.1,4.7,4.2,3.8
TN,Tennessee,47,4.7,5.3,5.7,5.4,5.6,5.2,4.8,6.6,10.6,9.9,9.3,8.2,8.2
TX,Texas,48,5,6.4,6.7,6,5.4,4.9,4.4,4.9,7.5,8.2,7.9,6.8,6.3
UT,Utah,49,4.4,5.8,5.7,5.1,4.1,2.9,2.6,3.3,7.8,8.1,6.8,5.4,4.4
VT,Vermont,50,3.3,4,4.5,3.7,3.5,3.7,3.9,4.5,6.9,6.4,5.6,4.9,4.4
VA,Virginia,51,3.2,4.2,4.1,3.7,3.5,3,3.1,4,7,7.1,6.4,5.9,5.5
WA,Washington,53,6.2,7.3,7.4,6.2,5.5,4.9,4.6,5.4,9.3,9.9,9.2,8.1,7
WV,West Virginia,54,5.2,5.9,6,5.3,4.9,4.5,4.2,4.2,7.6,8.5,7.8,7.2,6.5
WI,Wisconsin,55,4.4,5.3,5.6,5,4.8,4.7,4.8,4.8,8.7,8.5,7.5,6.9,6.7
WY,Wyoming,56,3.9,4.2,4.5,3.9,3.7,3.2,2.8,3.1,6.3,7,6.1,5.4,4.6
PR,Puerto Rico,72,11.4,12.3,12,10.6,11.3,10.5,11.2,11.8,15.3,16.4,16,14.5,14.3
